French,Fon
Pour qui Jésus-Christ est-il mort ?,Mɛ̀ támɛ Jezu Klístu kú dó ?
Je cherche toujours du travail,Un kpo ɖo azɔ ba wε
Il y a combien de temps que tu as visité Cotonou ?,A ɖi sa yi Kutɔnu ɖe azan nabi ɖie ?
Et pourquoi pas ?,Etɛ́ wútú má ká wɛ̀ ?
"Et après, que s'est-il passé ? : ","Bo enε ɔ gudo ɔ, nu tε jε ?"
ramener les jambes vers soi lorsqu'on est assis par terre,wŭn afɔ̀
remporter la guerre,ɖù ahwàn jĭ
Le garçon est en train de répandre de la cendre.,Nyaví ɔ́ ɖò afín fúnfún wɛ̀
Les enfants soigneux ont des vêtements propres.,Vi mimɛ ɖo awu mimɛ lɛ
Le malade mange une mangue et une banane.,Azinzɔnnɔ ɔ ɖo amaga kpodo kokwe kpo ɖu wɛ
C’est quelqu’un de bien.,É nyí mɛ ɖagbè
La sauce qu’elle a préparée est sans consistance.,Nùsúnnú ɔ́ ɖá ɔ́ cí jlolò
J’essuie la table.,Un ɖo tavo ɔ sunsun wε
Tout ce papier,Wema elɔ lε bi
Il gardait les moutons à l’orée du bois.,É nɔ́ nyì lɛngbɔ́ ɖò zunkan kpá
Moi aussi.,Nyɛ lɔ́
Sa bouche est étroite.,Nu tɔn sóbwé
Je vais te frapper !,Un na ɖ’álɔ̀ wú’we mɛ̀ !
C'est un étranger.,Jónɔ wɛ
Il a mis le pagne de fête.,É dó xwevɔ̀
Il a juré sur son père.,E xwlé tɔ́ tɔ̀n
"Au-dessus, il y a trois chambres","Ɖo aga ɔ, xɔ atɔn ɖo finε."
"  Donc, n’importe quoi qui se trouve à la maison et qu’ils auront à faire,","Dɔnk, nu ɖebu ɖe ɖo xwe ɔ gbe bɔ ye na blo ɔ,"
Le train pour Cotonou est à quelle heure ?,Kutɔnu sin pipan ɔ gan nabi mε wε ?
Il s’est dépêché pour faire le travail.,E náwun bo w’àzɔ̆
Le temps perdu ne se rattrape jamais.,E vɔ nɔ wli gan mɛ gugu a
Il est bienveillant pour moi.,É nyɔ́ xomɛ dó wŭ cè
Ca suffit comme ça.,E sù mɔ̆
Tu dépasses la mesure.,A nɔ zɛ̀ jlɛ̀ wú
C'est à Cotonou que Kofi est en train d'aller ,Kutɔnu yi wε Kofi ɖe.
Koku croit que Bayi est venu.,Kɔku ɖi ɖɔ Bayi wa
redoubler d'effort pour quelque chose,văn kàn dŏ nŭ wŭ
Ils se sont aimés toute la nuit.,Ye yi wan nu yeɖee zan ɔ mɛ bi
Il m’a mis dans une affaire grave.,E kóbá mì
Faire des cérémonies funèbres.,Wa cyɔnu
Il a plongé un bâton dans le lac.,É lun kpò dó tɔ ɔ́ mɛ̀
J’ai un cabri en réserve pour faire la fête.,Un ɖò gbɔ̌ ɖokpó sín kpasin bó ná dó ɖù xwè ná
Pourquoi s'aimer ? ,Etε wutu e na yi wan nu mεɖe ?
Koku dit n’importe quoi,Kɔku nɔ ba nuɖe ɖɔ.
L’enfant étudie sa leçon.,Vi ɔ ɖo nukplɔnkplɔn tɔn kplɔn wε
L’enfant a été très malade et est tout menu.,Vì ɔ́ j’azɔ̀n káká bó cí tebetebè
II est à la prison,E ɖo gankpa ɔ mɛ
Tu n'aurais pas pu le dire avant ?,A si ɖɔ ɖ'ayi a e ?.
Que vais-je faire ?,Etɛ́ un ná wà ?
On les coupe ,Mi ɖo ye sεn wε.
As-tu marché à pied ou à vélo ?,"Afɔ wɛ a zɔn à, alŏ kɛkɛ́ a dŏ à ?"
Il (serpent) se remue avec bruit.,E nɔ́ dán xasaxasà
L'homme et la femme sont supposés égaux.,Sunnu kpodo nyɔnu kpo ɖo na nyi nu ɖokpo ɔ
Il a omis de t'inscrire.,E wɔ̀n nyìkɔ́ tówé wlán
Tu racontes des inventions.,Nùdòwá ɖɔ́ a ɖè
Est-ce que tu sais pagayer ?,A nyɔ́ hùn kún à ?
"II a gâté mon plan, il a torpillé mon projet",E hɛn linlin ce gble
La nuit est tombée.,Zàn bɔ nu
"Non, Kofi n'est pas venu","Eo, Kofi wa ă"
Qu’as-tu mangé ?,Etɛ a ɖu ?
Ah ! Ouf !,Heelú !
Vieille cuvette.,Gannu xoxo
Avez-vous faim ?,Xovɛ sin mi à ?
Nous aussi !,Mi ɖe lε ɖesu
Il s’est léché les doigts.,E ɖúɖɔ́ alɔ̀
C'est son prix réel.,Akwɛ́ tɔ̀n nùgbó núgbó nɛ́
Il ne fait rien,E nɔ blo nuti ă
Je m’en fous !,E ná tò ɖĕ hŭn é tò !
Tu es maladroit.,Alɔ towe jlɔ́ ă
Les aînés n’héritent pas des enfants.,Mɛxóxó nɔ́ ɖù yɔkpɔ́vú’sí ă
faire chauffer quelque chose,ɖŏ nŭ adò jí
"Il est allé ""au diable "".",E yì vóvólívwé
aller dans sa case,yì xɔ̀
"Oui, j'ai fait du jogging et cela fait des années que je n'ai pas couru : ","Eεn, un blo wezunkinkan bo un ma so kan wezun din a e wɔ blo xwe gege."
Il appelle sa maman.,E ɖo nɔ tɔn ylɔ wɛ
Voici ton nouveau livre.,Wema yɔyɔ towe ɖie
Ils leur livrèrent bataille,Yetɔn ahwan ye
"Pour le dîner, il a des oeufs sur le plat","Nu nuɖuɖu ɔ, azin lε ɖo gannu ɔ mε."
Il a engendré un enfant normal.,E ji vijɔvi
II s'est levé lourdement et est parti,E ci te gbagbaɖa bo diɖo
catéchisme,katekísmù - katekízù
Je n'ai pas trouvé le temps.,Un vo bo bló ă
Elle a vendu cher.,E sà axivɛ́ tɔ̀n
Que je n’aille pas ?,Má yi a ?
C’est le salut de mon fils que je cherche.,Vì cé sín gìngán bà wɛ́ un ɖè
Il est beau,E nyɔ ɖεkpε
C’est très bien.,E nyɔ́ káká
Les verrous ferment les portes pour se protéger des voleurs.,Hɔngan lε nɔ su hɔn lε bo na do hwlεn ye ɖe gan ɖo ajotɔ lε si
Ils devaient obéir à leur patron.,Ye ɖo na si gan yetɔn
Nous avons le temps,Gan mε kpo nu mi
Il se vante trop.,E nɔ́ yí nugo dín
"Il y a pas d'argent, il n'y a pas de travail.","Akwɛ ɖe ă, azɔ ɖe ă"
chercher à manger,bà nŭ ɖù
dégoûter quelqu'un,cì mε
Il s’est reculé.,E jó agɔ yi gŭdò
On l’a opéré.,E zɛ ɛ̀
Un hôte arrive pour toi.,Jònɔ́ já nú wè
Ce métal ne se ternit jamais.,Gan élɔ́ nɔ́ kú awì gbeɖé ă
Les hommes des temps anciens.,Gbɛtɔ́ hwexónú tɔ́n lɛ́
As-tu mal à la tête ?,Ta ɖo ɖuɖu we wɛ a ?
C’est la chaleur qui m’a donné soif.,Hwezivɔ wɛ zɔ́n bɔ̀ sinnu gblá sín mì
Je commence à me reconnaître.,Un wá jɛ̀ ayĭ tuwun jí lò
Il m'a apporté des fleurs ,E hεn foloo wa nu mi.
Tu seras la joie de ton Seigneur.,A na nyí awaɖonú Ajalɔ́nnɔ tɔ̀n
Age adulte (le fait de devenir adulte).,Mɛxo nyinyi
De quel village es-tu ?,Fí tɛ́ a go sín ?
salut !,kú !
"Dès le lever du soleil, il se met à faire chaud.","Hwezivɔ sin te cici trolo ɔ, yozo nɔ jɛ ɖiɖe ji"
feuille verte,ama mŭ
"Quand la lune fut levée, les oiseaux chantèrent.","Hwenu ɖee sun wa ji ɔ, xɛvi lɛ ɖo han ji wɛ"
L'enfant est (comme) un pagne (dont on peut se couvrir).,Vi ny'avɔ ɖe
Ils ont crié en vain.,Aké vɔ̀ yè dó
Je suis arrivé depuis hier.,Un wá sín sɔ ɖokpóó
Est-ce la vérité ?,E to nyi nugbo wε hun?
"Pourquoi es-tu si curieuse, Jane ?","Etε wutu a ɖo nudo ba wε sɔ mɔ, Jane ?"
Sous la couverture,Đo avɔ gwele
regard,kpínkpɔ́n - nùkpínkpɔ́n - wùn
Malheur à toi !,Heelú wè !
Avec quoi ?,Kpodo etε kpo ?
Le tout fait combien ?,Bì bló nabí ?
Une femme danse mal et prétend que ses seins flétris en sont la cause,Nyɔnu nyla we ɖu bo ɖo nu anɔkan.
On ne prend pas quelqu'un sur les genoux quand on est accroupi.,E no ɖo ayi syansyan bo nɔ sɔ mɛ ɖ'akɔn ă.
gaspiller,ɖù akpà - gŭ - zăn nŭ nyidò - zăn nyidò
avoir des difficultés,gbò mε
Le fleuve coule abondamment.,Tɔ ɖò flíflɛ́ wɛ̀
Le petit élève se dissipe.,Azɔmɛvi kpɛvi ɔ hɛn eɖee bu
Arrête-le pour moi.,Ɖò é te nú mì
"Leurs cris alertèrent le singe blanc qui, affolé, se mit à courir et détacha dans sa fuite un gros fruit sauvage","Ato wewe ɔ se xo susu yetɔn, e xεsi jε jitɔn ɔ e bε wezun, ɖo wezun tɔn mε ɔ e kεn atinsinsεn ɖaxo ɖokpo."
Il est très gai.,Xomɛ nɔ hun i dín
Certains oiseaux mangent du poisson cru.,Xɛvi ɖe lɛ nɔ ɖu hwevi mu
Une ONG vient de construire un hôpital et une école dans leur village.,Din jɛn gbɛ ɖokpo gba dotoxwe kpodo azɔmɛxɔ ɖo gleta etɔn
Je dors bien.,Un nɔ d’amlɔ ganji
"Chaque jour, mon père lit les journaux .",Tɔ ce nɔ xa xojlawema lε azan ɖokpo ɖokpo
Je suis tout à fait prêt.,Un ɖò gbesusɔ mɛ̀ jángíjángí
Vendeur d’œufs (mon) !,Azinsatɔ ce !
Cela montre qu’il est vraiment roi.,Nŭ nɛ́ ɔ́ ɖé xlɛ́ ɖɔ̀ é nyí axɔ́sú nùgbó
Ils prennent le bien des veuves.,Yè nɔ̀ wló asúkúsí lɛ́ ɖù
pagne rayé,avɔ hwεkannɔ̀
fille,vĭ - vĭnyɔnú
Il est monté sur l'arbre.,E xá atín ɔ́ jí
Tu as un chat dans la gorge.,Gbe towe xlá
velours,alăn - vludù
C’est plein à craquer.,E gɔ́ tún flá
Il a fait une offrande au vodoun.,E xwyɔ́ vodùn
Il se met trop en avant.,E nɔ́ klá dín
II n'a pas bien mélangé le ciment et le sable,E gudu siman do kɔ wu ganji a
Le furoncle a crevé.,Nùtítɛ́ ɔ́ wún sìn
"Si tu ne t'en vas pas tout de suite, nous allons nous bagarrer.","A ma gó sín fínɛ́ din à ɔ́, mì nà kplá"
Le fantôme arrive !,Wĭwì ja !
Mon grand frère a acheté de l'alcool très pur.,Fofó cé jɛ̀ ahan akú cácá
Il a enlevé l’émail du récipient.,É hɛ̀n gànnú ɔ́ flé
Leurs filets commençaient à se rompre.,Đɔ̀ yètɔ́n lɛ́ jɛ̀ tíntlɛ́n jí
Belle-sœur,"Nyɔ̌wɛ̀n, nyɔ̌hɛ̀n, asì nɔ̀ví"
"Ça, vous m’avez eu ! : ","Enε ɔ, mi wli mi."
enfantement,ajì - jiji - vìjíjí
séparément,vokàn vokàn
L’alcool est fort et même très fort.,Ahan ɔ syɛ́n bó ɖò cákácáká
La grand-mère lui raconte une histoire.,Nɔnɔ ɔ ɖo hwenuxo ɖɔ n'i wɛ
Il a mis la tête à la renverse.,E kpan ta jĭ
Mes camarades me laissent derrière.,Gbɛ̀ cé lɛ́ ɖò yiyi tɛ mi wɛ̀
Les fermiers coupent le mil mûr .,Kanlinnyitɔ le ɖo abɔkun zinzin sin wε
C'est Kofi,Kofi wε
Ils me persécutent.,Yè nɔ́ ɖè dó mì
Mais une seule mauvaise a gâté toutes les bonnes.,Amɔ nyanya ɖokpo ɔ kpe hu bo hεn ɖagbe lε bi gble
La pâte est brûlée (Elle a pris au fond).,Wɔ̀ ɔ́ fyɔ́
Tu en as l’obligation.,Kɔ towe jí wɛ̀ é ɖè
Il agit avec insouciance.,É nɔ́ zɛn sà
Le seau est percé.,Gannú ɔ́ ɖúɖú sìn
Il s'est parjuré.,E d'alɛ̀ wŭ cè
Ma montre marche.,Gan ce ɖ’azɔ wa wɛ̀
"Si nous avons froid, habillons-nous","Nu avivɔ sin mi ɔ, mi ɖo awu."
refuser de prendre feu,gbɛ̆ zò
Tu es en train d’échouer sans le savoir.,Wuntá xo a ɖè cóbó dɛ́ɛ̀n
Courage !,Mi glá !
J’ai tout arrosé.,Un hú sìn nú nù lɛ́ bĭ
tu continueras pour arriver à Akosombo.,a na kɔntinwe bo na jɛ Akosombo.
"Eh ! L’ami, bonjour ! Eh !",Kú nya nɛ́ !
Il est indépendant.,É ɖò jlokokò
Supplie-le.,Vɛ̀vɛ́ n’í
Il y en a jusqu’au nez (Ca déborde).,Kpétó kpé awɔ̀n
Tu as installé la porte de travers.,A dó hɔn ɔ́ nyi kɛ́n
La bassine est percée et elle a un large trou.,Basyá ɔ́ tɔ́n bó ɖò zoò
Merci (tu as fait).,A blo
Tous les baobabs sont en fleur.,Kpasatin lɛ bi ɖo foloo mɛ
Il est affable.,E nɔ́ yá wù dó mɛ
Il est allé dans la forêt.,E yi zun
Je n’ai jamais chaud.,Zozo nɔ hεn mi gbeɖe a
Ayez confiance et vous aurez la récompense de votre foi.,Mi gb’ádɔ ɖɔ̀ mi na yí nùɖíɖí mitɔn sín ajɔ̀
Je ne suis plus sous ses ordres.,Un gló è
Le couteau a le manche fragile.,Jìví ɔ́ fɛ́ɖɛ́ atín
A ta santé !,Nu ganjininɔ towe !
Il a raillé cet homme.,E ɖɔ̀ slamɛ nya ɔ wú
Tu nous aimes.,A yi wan nu mi
gémir,wɛ̀n - wɛ̀n azɔ̀n - zɛ̀n
Je suis à bout de forces.,Hlɔ̀nhlɔ́n cé vɔ̀
"La semaine suivante, son père l'appela et lui dit.","Azan ɖevo gbe ɔ, tɔ tɔn wa ylɔ ɛ bo ɖɔ n'i ɖɔ"
Je mange une petite mangue verte avec un couteau tranchant ,Un ɖo maga xεlu kpεvi ɖu wε kpodo jivi ɖiɖa kpo.
Kofi a travaillé plus que Sagbo.,Kofi w'azɔ hu Sagbo
"Le voici. Maman, bonne et Heureuse Année à nous tous.","É ɖie ! Mama, xwe ɔ ni nyí xwesi nú mĭ bi"
balade,jɔfúnfún - sáwúngíɖó
Je viendrai te reprendre à trois heures.,Un na lɛ́ wá sɔ́ wé ɖò gan'tɔn mɛ̀
Je refuse totalement ta familiarité.,Un gbɛ́ há tówé bĭ
Souffle la lampe.,Cí zogbέn ɔ́
Août a 31 jours ,Avivɔsun ɖo azan gban nukun ɖokpo.
Nous avons regardé.,Mi kpɔn
"Dans l'exercice de ses droits et dans la jouissance de ses libertés, chacun n'est soumis qu'aux limitations établies par la loi exclusivement en vue d'assurer la reconnaissance et le respect des droits et libertés d'autrui et afin de satisfaire aux justes","Do acɛ e gbɛtɔ ɖo lɛ sin zinzan kpo nunɔ tɔn kpo mɛ ɔ, mɛ ɖokpoɖokpo ɖo na ba jlɛ na bo na nyi sɛn e na zɔn bɔ é ma na tɛ afɔ acɛ nɔzo tɔn tɔn lɛ kpo jlokokonunɔ tɔn tɔn lɛ ji kpo ji ă é ɖi lee mɛsisi sin kplɔn byɔ gbɔn é, tuto e ji to ɔ ɖe kpo togun bi k"
Ce que j’ai appris qu’il a fait est parfait.,Nú é bló bɔ un se e ɔ́ é càcú
La pâte est bien liée et est élastique.,Wɔ̀ ɔ́ dɛ ganjí bó ɖo lánkólánkó
"Ton homme, la dispute lui a coupé le cou (à une femme dont le mari, éternel querelleur, a perdu sa voix, ou est devenu handicapé).",Nya towe ɔ́ adɔn tɔn gbo kɔ̀
Voulez-vous de la bière ou du vin ?,Mi ba bia alo vɛɛn ?
Entrez,Mi byɔ xwegbe
Il est doré.,E ɖó síká sín mɛ̀
Il est un maître.,E nyí mɛ́si
Il a été victime d’un accident.,Awòvínú jɔ́ dó wŭ tɔ̀n
Le ciel est très nuageux.,Akpɔ́kpɔ́ ɖò jí dín
C’est le jour où il s’est marié ,Azan elɔ gbe e wli alɔ.
Ils écoutent l'enseignement du Christ transcrit par les apôtres.,Yè nɔ́ ɖó tó nùkplɔ́nmɛ Kristu tɔn e Apostolu lɛ́ wlán é
aller quelque part ensemble,zɔ̀n yì
Il a eu recours à moi.,E hɔ́n wá sú mì
Je n'ai jamais été à Cotonou.,Un yi Kutonu kpɔn a
Il a profité de ton absence pour partir.,É zɔ́n dó xwémáɖé tówé wú bó yì
"Pourquoi donc baptises-tu, toi qui n’es ni le Christ, ni Elie, ni le Prophète ?","Đ’áni wútú a nɔ le yɛhwesin nú mɛ, hwi ɖíe a ma nyí Klístu nɛ́, a ma nyí Elía nɛ́, a ma ka nyí wɛnsagun nɛ́ ?"
C'est presque fini.,E kó ɖibla vɔ̀
Observe les commandements de Dieu.,Nyì Măwù sɛ́n lɛ́
Votre mère est sortie.,Nɔ mitɔn tɔ́n
Qu'y a-t-il encore ?,Nɛ̀ ká sɔ́ lɛ́ gbɔ̀n ?
J'irai vendre.,Un ná yí sà nŭ
Les chasseurs tuent le gibier ,Gbenyatɔ lε nɔ hu lan ɔ.
J'ai acheté un ananas.,Un xɔ agɔn ɖokpo
Qui est le chef ici ?,Mɛ̀ wɛ́ nyí găn ɖò fí ?
J’ai la chair de poule.,Wutú ce slɔ́ fún
Les écoliers sont rassemblés et assis en cercle et sont en train d’étudier.,Wèxɔ́mɛ́ví lɛ́ kplé bó jínjɔ́n ayĭ togoo bo ɖò nù kplɔ́n wɛ̀
Ce ne sera pas long,E na lin a
Il est dans la campagne.,É yi gle gbè
Voici de la sauce d’épinards,Fɔtεtε nusunnu ɖie
Tu as bien lié tes cheveux.,A blă ɖa ɖagbe
"Tout est perdu, bénéfice et marchandise.",Ajɔ̀ gú le gú
Je goûte avec la langue,Un nɔ ɖɔ nu kpodo ɖε ce kpɔn.
lier amitié avec quelqu'un,zùn xɔ́ntɔ̀n xá mɛ
Il fait encore jour.,Keze ɖo te
intenter un procès,ylɔ̆ hwὲ
Comme la biche a soif de l’eau fraîche.,Ðì léè kɔ nɔ xú zungbɔ́ ɔ́ ɖɔ́hún ɔ́
Bruyant,Zingidi nu
Cela me répugne.,É vlɛ́ nu cè
La grand-mère lui raconte une histoire .,Nɔnɔ ɔ ɖo hwenuxo ɖɔ n'i wε
Tu es plus malin qu’une mangouste.,A bí hú wɔ̀
obéissant,mεgbesetɔ́ - tónúsétɔ́
Nous saurons ce soir.,Mi na tuun gbadanu
Des livres épais,Wema ɖaxo
Les chats sortent leurs griffes,Awii lε ɖe fεn yetɔn tɔn.
Et l'insecticide ?,Zansukpεhunu lo ?
Il s'est découvert en dormant.,E ɖè avɔ sín wŭ ɖ'amlɔ mɛ̀
Il est derrière.,E ɖo gudo
enfant encore à la mamelle quand sa mère devient enceinte,kpέdóví - kpεdóvú
ganglion,zɛ̆n - zɛ̀nhɔ́n
Rien ne pourra m’atteindre (Le feu en furie ne va pas dans la maison de l’eau).,Zo nɔ w’adăn yi tɔxwé ă
Il m’a dominé.,É kpé wŭ cè
Je suis allé remettre quelque chose à mon grand frère.,Un sɔ́ nuɖé yí jó nú fofó cè
cette,dε - élɔ́ - énέ
Le fils est sur le chemin.,Vi ɔ ɖo ali ji
Je les avais plongées pendant 15 secondes dans l'eau bouillante ,Un nylɔ ye do sin ɖe hun agban ɔ mε nu nukun hwihwe afɔtɔn.
On mange mal ici,Mi nɔ ɖu nu ganji ɖo fi a.
Content de te revoir.,E vivi nu mi ɖee un vɔ mɔ we ɔ
On empêche la pluie de tomber à un endroit.,E nɔ glɔ́n jĭ
Certains enfants.,Vi ɖe lɛ
Je vais te battre.,Un na xo we
Ils rient sans arrêt.,Yĕ ɖò nù kó wɛ̀ soò
"Non, je ne parle pas le fon.","Eo, un se fɔngbe ă"
Les fleurs sont trempées de rosée,Folo lε jije kpodo ahun kpo.
Il est gras.,É ɖó jŏ
Ma grande soeur a acheté une montre neuve.,Dada cé xɔ gan vɛncɛnvɛncɛn ɖokpó
Le malade est triste,Wu ku azinzɔnɔ ɔ
Es-tu Béninois ?,Beninu wɛ a nyi à ?
C’est la sauce de légumes qui te plaira de manger avec,Ma wɛ jro e bɔ a na ɖu na
Il est entré dans la pièce sans frotter ni à droite ni à gauche.,É byɔ́ xɔ ɔ́ mɛ́ xlówún
J’ai une bonne santé.,Un ɖó hunsin ɖagbe
Dans combien d’heures auras-tu fini le travail ?,Ganxixo nabí mɛ̀ a na fó azɔ̀ ɔ́ ?
Tu viendras chez moi.,A na wa gɔn ce
La rosée est tombée.,Ahŭn jà
Il a une belle voix.,É ɖó han gbè
Il y a.,E tíìn
Ils se tenaient prosternés en tremblant.,Yĕ ɖò kpolijijɛ bó ɖò sisɔsisɔ wɛ̀
Je boirais bien un verre de bière,Un ɖo na nu ɖo bia sin kofo mε.
Il a été négligent pour son travail.,E ɖi blemú dó azɔ̀ tɔ́n wú
Je n’aimerais pas être à sa place.,Un ba na nɔ tεn tɔn mε a
Ce serpent a été trouvé à Paris en 1996.,Dan enɛ ɔ nyi mimɔ ɖo Paris ɖo 1996
Le gri-gri a perdu sa force.,Bò ɔ̀ klɔ́n
interdit,gbìgbέ - nùvέmε - sù - sέn
"A l’endroit où s’arrêtait ma connaissance du pays, c’est là que la nuit m’a surpris.","Fí e un nywɛ́ ayi yi dó ɔ́, é wɛ̀ zàn kú dó mí ɖé nɛ́"
Chez kofi.,Kofi xwe
Dieu a créé le ciel et la terre,Mawu blo jixwe kpodo ayikungban kpo.
La maison est remplie de fumée.,Azɔ gba kpé xɔ ɔ́ mɛ̀
Tu ne fais que parler.,Xó jɛ́n a nɔ ɖɔ̀
Félicitations !,Alɔ towe ɖíè !
Tu me diras où tu descendras.,A ná ɖɔ̀ fí ɖĕ a ná jɛ te ɖe ɔ nú mì
Des jeux brutaux.,Ayihun gidigidi ɖe lɛ
Les chevaux tirent la charrette.,Sɔ lε ɖo kεkεvi ɔ dɔn wε
Il faudra régulariser ta situation.,A ɖo na bló nunɔmɛ towe ɖó
Le mieux possible.,Lĕe mĭ sìgàn kpé wú gbɔ́n ɔ́
Une station d’essence y aboutit là.,Stasiɔn desanz ɖe lɛ vɔ ɖo finɛ.
Le vent s'est apaisé.,Jɔhɔn xwɛ
Les insectes qui détruisent nos récoltes.,Hwɛn ɖee nɔ hɛn jinukun lɛ gble ɔ
Nous sommes enracinés très solidement (chant hanyè).,Mì dó ɖɔ dò kpánwúnkpánwún!
Une mère et sa fille.,Nyɔnu ɖokpo kpo vi tɔn
C’est un cultivateur.,É nɔ́ lɛ glè
fixer un délai,ɖŏ hwenu
Il a parlé un fon trop difficile à comprendre.,É dɔ́ fɔngbe ɔ́ kéwúnka tɔ̀n
Je suis à l'Université d'Abomey­-Calavi.,Un nɔ yi wemaxɔmɛ Kplɔnyijialavɔ Kalavi tɔn
"Non, une cigarette !","Eo, azɔnunu ɖokpo !"
gloutonnerie,klέnnyεfún - winwan
A qui cela a-t-il fait mal ?,Mɛ̀ wú wɛ̀ é ká wà nù dó ?
Attache-le.,Sin k’ɛ̀n
Il y a huit ans que je le connais ,Un tuun n'i ɖo xwe tantɔn ɖie.
Les autres vont avoir peur et ne feront plus ainsi.,"Mɛ e kpo lɛ ɔ, ye na ɖi xɛsi bɔ ye sɔ na nɔ blo nu mɔkɔntɔn a."
De bon coeur.,Kpó ayi kpó
Pourquoi manifestent-ils ? ,Nu tε wutu ye ɖo su xo wε ?
II me faut absolument de l'argent,Akwɛ gbo vɛ mi
Je suis tombé malade.,Lanmɛ wá nú mì
Il est trop tard.,Hwenu kó dín
C’est mon père qui a planté ces goyaviers.,Tɔ́ cé wɛ́ tùn kɛ́nkúntín élɛ́
Prudence est mère de sûreté.,Sɔxwixwe nyɔ hú wezunkínkán
religieuse,asyɔ́nlà - syɔ́nlà
Tu achètes des oeufs.,A ɖo azin xɔ wɛ
"Ne m’insulte pas trop, sinon ça ira mal entre nous.","Ma zùn mì din ó, é má nyí mɔ̆ à ɔ́, é ná nylá nú nyɛ́ kpó hwi kpó"
"Certes, je sais bien que tu m’exauces toujours.",Nyɛ ko tunwùn ganjí ɖɔ̀ tɛgbɛ jɛ́n a nɔ ɖó tó mì
Vous avez regardé.,Mi kpɔn
Annie restera à la maison pour garder son petit frère,Anny na nɔ xwe gbe bo na hεn nɔvi tɔn.
pendant la nuit,zăn mɛ̀ - zănmɛ̀
Bill conduit une moto,Bill ɖo kεkε kun wε.
Le malade mange une mangue mais pas de banane.,Azinzɔnnɔ ɔ ɖo amaga ɖu wε amɔ e ɖo kokwe ɖu wε a
Je n'ai pas l'habitude,E ma mi ă
J'étais à toi.,Un ko nyɛ towe
Est-ce que tu le connais ?,A tuun n'i a ?
Je suis à bout de forces.,Hlɔ̀nhlɔ́n cé vɔ̀
Précède-moi.,Jɛ̀ nukɔn nú mì
Il a fait une comparaison.,É jlɛ́ nŭ dó nù wú
On ne peut rien faire sans argent.,E sìxú wà nùɖé kwɛ́ mɛvo ă
Elle a beaucoup vieilli.,É kpò nyɔ̀xó tlálá
Ecoutez-le !,Mi ɖó tó è !
L'enfant a mal au ventre.,Xomɛ ɖo vi ɔ ɖu wɛ
Respectez toujours le Seigneur.,Mi si Aklunɔ tɛgbɛ
C'est drôle que tu dises ça.,Nuhwinhwɛn wɛ bo a ɖɔ mɔ
lâcher,ɖè nyì tè - jŏ dŏ - winnyá
Ecarte-toi de lui.,Sɛ yi zɔ̀ n'í
Le coco est totalement formé.,Agɔnkɛ́ ɔ́ zìn
Il a des fruits (en formation ou à maturité).,E sɛ́n
Kofi n'est pas parti.,Kofi kun yi o
On devrait y arriver,Mi ɖo na kpe wu.
Ces arbres finiront par tomber sur le chemin.,Atín elɔ na wa hɔ d’ali jí
Il a fait l'enfant gâté.,E nɔ́ bló kpɔ́nnyɔ́ ví
On ne peut pas servir deux maîtres à la fois.,Mɛɖé sixú sɛ̀n găn wè gbeɖé ă
Il est en haut.,E ɖ'agà
"Nos filles, elles-mêmes disent.","Nyɔnu mĭtɔn lɛ ɔ, e ɖesu ɖo ɖiɖɔ wɛ din"
Ils se font de la concurrence.,Yĕ ɖò za li wɛ̀
Il faut courber la tête pour passer sous cette porte ,E ɖo na do ta do bo na gbɔn hɔn enε ɔ gwlε.
Tu es toujours en train de penser à manger.,Nùɖúɖú nɔ́ myá nukún nú wè
C’est une très grande table.,Távò jogijogi wɛ̀
Le gri-gri a perdu sa force.,Bò ɔ̀ klɔ́n
La décision est prise.,Xó ɖè sɔ́ kpò ă
Ils ont encombré la maison.,Yè súbɔ́ xwé ɔ́
Ou bien est-ce parce que c’est inscrit dans sa nature ?,"Alŏ, e ko wlán dó wù tɔ́n ɖɔ́jí ?"
En cette période.,Hwɛ elɔ nu
Je suis venu pour te voir et je ne t’ai pas trouvé.,Un wá bá wé kpò
Nous visitons la vieille église ,Mi ɖo amisaxɔ xoxo ɔ kpɔn wε.
Il est très accueillant.,E nɔ́ yí mɛ ganjí
Asiba m’a dit que Koku viendra.,Asiba ɖɔ nu mi ɖɔ Kɔku na wa
Je retourne aux USA et je vous enverrai des lettres et des cadeaux.,"Un na yi yovotomɛ, kpo na sɛ do wema nu mi kpo nuɖagbe lɛ"
tirer,dà - dɔ̀n - ɖè - dὲn
quitter,go sín - jŏ dŏ
Comment s’appelle-t-il ?,Nɛ̆ wɛ̀ nyì tɔ́n nyí ?
Nous avons beaucoup travaillé aujourd’hui.,Mĭ w’àzɔ̆ égbe tɛɛ̀n
Pars pour que ton père ne te voie pas.,Yì nú tɔ́ tówé ní má mɔ́ wé ó
